V;generique;;;;
V;nuggets;;;;
N;Quel type de nombre n'existe pas ?;Les nombres parfaits;Les nombres premiers;Les nombres généreux;Les nombres complexes
N;Comment s'appelle la peur du nombre 666 ?;L'hexateraphobie;La sisisiophobie;L'evilonumerophobie;L'hexakosioihexekontahexaphobie
N;Comment s'appelait la première machine à calculer ?;La Robertine;La Pascaline;La Micheline;La Claudine
N;Lequel de ces mathématiciens n'était pas d'origine française ?;S-F Lacroix;A-M Legendre;P-S de Laplace;J-L Lagrange
V;sel-ou-poivre;;;;
S;« Pythagore », « Thalès » ou « les deux » ?;Aurait mesuré la hauteur de la pyramide de Kheops à l’aide d’un bâton;;;
S;« Pythagore », « Thalès » ou « les deux » ?;N’a pas inventé le théorème qui porte son nom;;;
S;« Pythagore », « Thalès » ou « les deux » ?;Aurait participé aux Jeux Olympiques;;;
S;« Pythagore », « Thalès » ou « les deux » ?;Personnage de Dragon Ball;;;
S;« Pythagore », « Thalès » ou « les deux » ?;« 3 – 4 – 5 » pour les menuisiers;;;
S;« Pythagore », « Thalès » ou « les deux » ?;Grec;;;
S;« Pythagore », « Thalès » ou « les deux » ?;Grande entreprise dans l’aéronautique;;;
S;« Pythagore », « Thalès » ou « les deux » ?;Ses disciples ont créé une gamme musicale;;;
S;« Pythagore », « Thalès » ou « les deux » ?;Son théorème concerne les triangles;;;
S;« Pythagore », « Thalès » ou « les deux » ?;Etait l’un des sept Sages de la Grèce;;;
V;menus;;;;
L;Menu 1 : C'est logique;Menu 2 : Ca pue l'arnaque;Menu 3 : Si vous pensez tout savoir sur les 1 000 000èmes premières décimales de Pi, ce menu est fait pour vous...;;
M;Menu 1 : C'est logique;<img src='https://www.desmarets.eu/jeux/burgerquiz/logique/logique1.jpg' />;;;
M;Menu 1 : C'est logique;<img src='https://www.desmarets.eu/jeux/burgerquiz/logique/logique2.jpg' />;;;
M;Menu 1 : C'est logique;<img src='https://www.desmarets.eu/jeux/burgerquiz/logique/logique3.jpg' />;;;
M;Menu 1 : C'est logique;<img src='https://www.desmarets.eu/jeux/burgerquiz/logique/logique4.jpg' />;;;
M;Menu 1 : C'est logique;<img src='https://www.desmarets.eu/jeux/burgerquiz/logique/logique5.jpg' />;;;
M;Menu 2 : Ca pue l'arnaque;Ecrire un seul mot avec les lettres suivantes :<br /><strong>N O T U L U S E M</strong>;;;
M;Menu 2 : Ca pue l'arnaque;J'ai quatre frères et chaque frère a quatre frères. Combien sommes-nous ?;;;
M;Menu 2 : Ca pue l'arnaque;Jack et John jouent aux échecs. Ils ont joué 5 parties, et chacun en a gagné 3. Comment est-ce possible ?;;;
M;Menu 2 : Ca pue l'arnaque;L'une des deux montres est un jouet et l'autre est vraie. Laquelle est vraie ?<br /><img src='https://www.desmarets.eu/jeux/burgerquiz/logique/logique7.jpg' />;;;
M;Menu 2 : Ca pue l'arnaque;Combien d’allumettes faut-il déplacer au minimum pour rendre l’égalité correcte ?<br /><img src='https://www.desmarets.eu/jeux/burgerquiz/logique/logique6.jpg' />;;;
V;addition;;;;
A;La réponse est un nombre;Vient après onze dans l’ordre alphabétique;;;
A;La réponse est un nombre;Titre de film;;;
A;La réponse est un nombre;Le nombre de personnes dans la salle;;;
A;La réponse est un nombre;1 x 1;;;
A;La réponse est un nombre;Attila en était le chef;;;
A;La réponse est un nombre;Il est rare d’en trouver en vide-grenier;;;
A;La réponse est un nombre;509 en chiffres romains;;;
A;La réponse est un nombre;Nombre de côtés d’un heptagone;;;
A;La réponse est un nombre;Commence par un P;;;
A;La réponse est un nombre;Une ville française;;;
V;burger-mort;;;;
B;Combien vaut 2 + 2 ?;;;;
B;Quel est votre triangle préféré ?;;;;
B;Vrai ou Faux :<br />le prénom de Pythagore était Kévin ?;;;;
B;Epeler à l’envers le mot Pi;;;;
B;Combien vaut 3564 x 12367 ?<br />Si vous ne savez pas, faites un tour sur vous-même et dites 42.;;;;
B;Si x = 3, combien vaut 72 ?;;;;
B;De quelle forme sont les orbites de rotation des planètes autour du soleil ?<br />Indice, ce sont des ellipses.;;;;
B;Quelle était la réponse à la troisième question ?;;;;
B;En général, combien de côtés a un carré ?;;;;
B;Citer un nombre plus grand que 26 et plus petit de 34.;;;;
